,Planet_Name,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran_5s,Int Ntran_5s,Hours_5s,atmNtran_4s,Int Ntran_4s,Hours_4s
35,TOI 256.01,0.12,0.007473867,274,230,,24.7371,1.9583,8.8,14.99,3166,5.037,TRUE,toi,0.19,63.48898848,7.301233675,0.010879616,0.43851958,1.791364295,7.790622865,8,51.99936,4.985998633,5,32.4996
36,TOI 256.02,0.1,0.004605137,513,431,,3.7784,1.0283,8.8,14.99,3166,5.037,TRUE,toi,0.19,111.7395437,12.85004753,0.013875299,0.55926518,2.284613325,4.789769319,5,21.3396,3.065452364,3,12.80376
37,TOI 406.01,0.13,0.008561783,423,356,,13.1738,2.0449,8.8,31.06,3324,4.837,TRUE,toi,0.309,41.23616565,4.742159049,0.007220876,0.291048444,1.188940735,17.68559172,18,120.73968,11.3187787,11,73.78536
38,K2-129 b,0.09,0.00352,499,419,3.004,8.2395,1.849051153,8.9,27.82,3459,,TRUE,nexsci,0.36,28.8584685,3.318723878,0.004589055,0.184968899,0.755602936,43.78776065,44,274.4598018,28.02416682,28,174.6562375
39,TOI 393.01,0.15,0.010916376,799,672,,2.4922,1.605,8.9,37.89,3450,4.784,TRUE,toi,0.45,44.22001945,5.085302236,0.006551368,0.264062917,1.07870413,21.4849984,21,118.692,13.75039897,14,79.128
40,TOI 2095.01,0.12,0.007473867,457,384,,17.6633,3.05,9,41.92,3746,4.77,TRUE,toi,0.463205,17.83456499,2.050974974,0.003478468,0.14020497,0.57274108,76.21199669,76,693.12,48.77567788,49,446.88
41,TOI 2095.02,0.11,0.006447453,391,329,,28.1739,4.1897,9,41.92,3746,4.77,TRUE,toi,0.463205,13.64327587,1.568976726,0.003118787,0.125707472,0.51351841,94.80428609,95,1126.2516,60.6747431,61,723.17208
42,K2-21 b,0.14,0.011856,656,552,3.164,9.3241,2.304,9.4,65,4043,,TRUE,exoplanets.org,0.65,13.03279831,1.498771805,0.001837615,0.074067874,0.302569262,273.0803165,273,2000.9808,174.7714026,175,1282.68
43,Kepler-138 b,0.05,0.00021,530,446,2.372,10.3126,1.92,9.5,66.99,3841,4.89,TRUE,nexsci,0.44,59.1016516,6.796689934,0.007264835,0.292820313,1.196178868,17.47220664,17,108.936,11.18221225,11,70.488
44,Kepler-138 c,0.11,0.0062,485,408,3.128,13.7813,2.263,9.5,66.99,3841,4.89,TRUE,nexsci,0.44,19.49936952,2.242427495,0.002602186,0.104885105,0.428458478,136.1828842,136,983.4432,87.15704589,87,629.1144
45,Kepler-138 d,0.11,0.00201,409,344,2.631,23.0881,1.9465,9.5,66.99,3841,4.89,TRUE,nexsci,0.44,50.71243698,5.831930253,0.006276496,0.252983767,1.033445501,23.4080292,23,148.8468,14.98113869,15,97.074
46,KOI 314.01,0.13,0.010551,523,439,3.212,13.7811,2.3188,9.5,,3846,4.738,TRUE,exoplanets.org,0.503,15.57199937,1.790779927,0.002103544,0.084786556,0.346355363,208.3992608,208,1531.94496,133.3755269,133,979.56096
47,KOI 314.02,0.11,0.006683,440,370,3.131,23.089,1.7012,9.5,,3846,4.738,TRUE,exoplanets.org,0.503,12.55312177,1.443609004,0.001452463,0.058543731,0.239152719,437.1086122,437,2570.81856,279.7495118,280,1647.2064
48,TOI 1746.01,0.14,0.00970973,749,630,,2.5253,0.9458,9.5,62.55,3340,4.817,TRUE,toi,0.410465,45.54541334,5.237722534,0.003929342,0.158378152,0.646979018,59.72547542,60,244.1952,38.22430427,38,154.65696
49,TOI 2267.01,0.11,0.006447453,520,438,,3.495,0.8802,9.5,,3022,4.996,TRUE,toi,0.242745,66.13673703,7.605724758,0.005504387,0.221862762,0.90631536,30.43556215,30,117.3744,19.47875978,19,74.33712
50,TOI 797.02,0.13,0.008561783,718,604,,4.1401,1.0133,9.6,56.19,3607,4.761,TRUE,toi,0.495,27.26288284,3.135231526,0.002324965,0.093711258,0.382813013,170.5951279,171,723.65832,109.1808819,109,461.27928
