,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran
23,TOI 1468.02,,,,0.13,0.008561782951905326,811,682,,1.8803,1.0554,8.5,24.74,3382,4.855,True,toi,0.369306,55.30404330449748,6.359964980017209,0.007988053748984848,0.3219707343550072,1.3152591228282549,14.451647606536662
24,K2-3 c,0.0,0.0,0.046,0.14,0.00673,456,383,2.9360000000000004,24.6466,3.4272,8.6,45.0,3896,4.73,True,nexsci,0.56,21.46204771966297,2.4681354877612405,0.0053347789678292795,0.2150264327042022,0.8783887698053432,32.40160022196115
25,K2-3 d,0.0,0.0,0.023,0.14,0.011654,367,308,3.175,44.5631,3.984,8.6,45.0,3896,,True,exoplanets.org,0.56,9.966969956465867,1.1462015449935743,0.00267115053415441,0.10766481123937874,0.43981365410074164,129.241679391741
26,K2-3 d,0.0,0.0,0.029,0.14,0.00881,365,307,3.072,44.5565,4.17,8.6,45.0,3896,4.73,True,nexsci,0.56,13.141650514064796,1.5112898091174514,0.00360324249340836,0.14523420449058588,0.5932856375459475,71.0251793124622
27,TOI 700.03,0.0,0.0,0.041,0.09,0.00348,494,416,2.999,9.977,1.9739,8.6,31.07,3461,4.8,True,nexsci,1.0,3.7559604315497297,0.43193544962821895,0.0007085314486873106,0.028558444649481936,0.11666201567749018,1836.8811477754575
28,TOI 700.02,0.0,0.0,0.029,0.1,0.00495,318,268,3.072,37.4248,3.2827,8.6,31.07,3461,4.8,True,nexsci,1.0,2.333506357817212,0.2683532311489793,0.0005676754797336275,0.022881029200435058,0.09346962063449378,2861.5349104714574
29,LHS 1140 b,,,,0.15,0.02196,276,232,3.361,24.737,1.971770276157524,8.8,14.99,3216,,True,nexsci,0.21,34.8473879415923,4.007449613283113,0.005992029426858527,0.24151791856528626,0.9866072031541587,25.68333667765564
30,LHS 1140 b,,,,0.13,0.021229,261,220,3.508,24.7371,1.9717782470928693,8.8,12.47,3131,,True,exoplanets.org,0.21,22.25174142612427,2.5589502640042907,0.0038262081263802064,0.1542211756402226,0.6299976567759966,62.98862678557963
31,LHS 1140 c,,,,0.11,0.00569,517,435,3.036,3.7779,1.0539025359156742,8.8,14.99,3216,,True,nexsci,0.21,99.447953404774,11.43651464154901,0.012501773441212857,0.5039031160899193,2.0584578029631855,5.900055152105522
32,TOI 1266.02,,,,0.15,0.010916376022419128,424,356,,18.7954,1.9269,8.8,36.01,3618,4.794,True,toi,0.435666,24.992939914739882,2.8741880901950854,0.0042483714639654216,0.17123711520339174,0.6995082282532032,51.09217062099798
33,TOI 1640.01,,,,0.11,0.0064474533508404675,729,613,,1.9495,0.6758,8.8,18.23,3414,4.973,True,toi,0.260187,80.56724765840502,9.265233480716576,0.008110416750009316,0.3269027624228875,1.3354065903405414,14.018869026855375
34,TOI 2142.01,,,,0.13,0.008561782951905326,486,409,,9.3017,2.2244,8.8,27.75,3472,4.86,True,toi,0.363966,34.146556414238056,3.9268539876373763,0.0062363273788956525,0.251364721490068,1.0268316583471302,23.71054347772769
35,TOI 256.01,0.0,0.0,,0.12,0.007473866873176993,274,230,,24.7371,1.9583,8.8,14.99,3166,5.037,True,toi,0.19,63.48898847970218,7.301233675165753,0.010879616058527884,0.43851957960472093,1.7913642951721602,7.790622864611697
36,TOI 256.02,0.0,0.001,,0.1,0.004605137141274627,513,431,,3.7784,1.0283,8.8,14.99,3166,5.037,True,toi,0.19,111.73954371736866,12.850047527497393,0.013875299336773594,0.5592651798849346,2.2846133248644613,4.78976931868023
37,TOI 406.01,0.0,0.0,,0.13,0.008561782951905326,423,356,,13.1738,2.0449,8.8,31.06,3324,4.837,True,toi,0.309,41.23616564569775,4.742159049255241,0.007220875590817049,0.2910484443043425,1.1889407350115715,17.685591715914114
38,K2-129 b,,,,0.09,0.00352,499,419,3.004,8.2395,1.8490511534037943,8.9,27.82,3459,,True,nexsci,0.36,28.858468501471528,3.318723877669225,0.004589055311202303,0.1849688991803945,0.7556029356949848,43.787760648892224
39,TOI 393.01,0.0,0.008,,0.15,0.010916376022419128,799,672,,2.4922,1.605,8.9,37.89,3450,4.784,True,toi,0.45,44.220019445910694,5.0853022362797295,0.006551368031550245,0.26406291725518416,1.0787041301013893,21.484998395158176
40,TOI 2095.01,,,,0.12,0.007473866873176993,457,384,,17.6633,3.05,9.0,41.92,3746,4.77,True,toi,0.463205,17.83456499039522,2.05097497389545,0.0034784678203467045,0.1402049702894925,0.572741080361025,76.2119966854339
41,TOI 2095.02,,,,0.11,0.0064474533508404675,391,329,,28.1739,4.1897,9.0,41.92,3746,4.77,True,toi,0.463205,13.643275874581413,1.5689767255768627,0.0031187867024983326,0.12570747223973447,0.5135184103058498,94.80428609364063
42,K2-21 b,0.0,0.001,0.019,0.14,0.011856,656,552,3.164,9.3241,2.3040000000000003,9.4,65.0,4043,,True,exoplanets.org,0.65,13.032798306518664,1.4987718052496464,0.0018376147205180656,0.07406787430567341,0.30256926171935605,273.08031650926074
43,Kepler-138 b,0.0,0.0,0.052000000000000005,0.05,0.00021,530,446,2.372,10.3126,1.92,9.5,66.99,3841,4.89,True,nexsci,0.44,59.101651595653344,6.796689933500133,0.007264835440783441,0.2928203133503683,1.1961788677937666,17.472206635407215
44,Kepler-138 c,0.0,0.0,0.021,0.11,0.0062,485,408,3.128,13.7813,2.263,9.5,66.99,3841,4.89,True,nexsci,0.44,19.499369524375624,2.2424274953031964,0.0026021863597889185,0.10488510462217347,0.42845847769196244,136.18288420907606
45,Kepler-138 d,0.0,0.0,0.051,0.11,0.00201,409,344,2.631,23.0881,1.9465,9.5,66.99,3841,4.89,True,nexsci,0.44,50.71243698369466,5.8319302531248844,0.006276495685883704,0.2529837665923101,1.033445501202321,23.408029204432104
46,KOI 314.01,0.0,0.0,0.017,0.13,0.010551,523,439,3.212,13.7811,2.3188,9.5,,3846,4.738,True,exoplanets.org,0.503,15.57199936765584,1.7907799272804217,0.0021035438654121046,0.08478655557128377,0.3463553634205683,208.3992608385948
47,KOI 314.02,0.0,0.0,0.013,0.11,0.006683,440,370,3.131,23.089,1.7012,9.5,,3846,4.738,True,exoplanets.org,0.503,12.553121771079994,1.443609003674199,0.0014524626665588993,0.05854373118541315,0.239152718896242,437.10861219653424
48,TOI 1746.01,,,,0.14,0.009709729693033964,749,630,,2.5253,0.9458,9.5,62.55,3340,4.817,True,toi,0.410465,45.545413340697365,5.237722534180197,0.00392934219784754,0.1583781522669234,0.646979018273354,59.725475423424164
49,TOI 2267.01,,,,0.11,0.0064474533508404675,520,438,,3.495,0.8802,9.5,,3022,4.996,True,toi,0.242745,66.13673702847629,7.605724758274772,0.005504387451609416,0.2218627622772812,0.9063153602629052,30.435562152158827
50,TOI 797.02,0.0,0.001,,0.13,0.008561782951905326,718,604,,4.1401,1.0133,9.6,56.19,3607,4.761,True,toi,0.495,27.26288283514051,3.1352315260411583,0.0023249646179656033,0.09371125795077744,0.38281301304723697,170.59512790764217
51,TOI 203.01,0.0,0.0,,0.11,0.0064474533508404675,222,187,,51.9532,6.3155,9.7,24.79,3209,5.011,True,toi,0.24100000000000002,28.64684258967381,3.294386897812488,0.005824466892566731,0.234764054118246,0.9590174849578442,27.182347357871485
52,TOI 789.01,0.0,0.001,,0.1,0.004605137141274627,583,490,,5.4467,1.5825,9.7,43.41,3461,4.854,True,toi,0.373,32.96212801850863,3.790644722128493,0.0033547692275004764,0.13521910914873056,0.552373703295905,81.93586039999387
53,KOI 1725.01,0.0,0.0,0.023,0.14,0.012141,511,430,3.169,9.8786,1.8915,9.8,,3609,4.843,True,exoplanets.org,0.42200000000000004,23.520827398977126,2.7048951508823698,0.0024993744008272307,0.1007411112330982,0.41153015307003715,147.61710544296778
54,K2-239 b,0.0,0.0,0.026,0.1,0.0043,560,471,3.045,5.24,1.4664,10.0,49.0,3420,4.9,True,nexsci,0.36,36.42728833982635,4.189138159080029,0.0031083407281720533,0.12528643125396072,0.5117984465373013,95.44256051638426
55,K2-239 c,0.0,0.0,0.022,0.09,0.00306,490,412,2.9810000000000003,7.775,1.248,10.0,49.0,3420,4.9,True,nexsci,0.36,32.64207134913042,3.753838205149997,0.00256957058447198,0.1035704758702466,0.4230881838279318,139.661986812239
56,K2-239 d,0.0,0.0,0.023,0.1,0.0043,450,378,3.045,10.115,1.8384,10.0,49.0,3420,4.9,True,nexsci,0.36,29.234639049796943,3.361983490726648,0.0027931437756661412,0.1125819355840755,0.45990023950235903,118.19871011738365
57,TOI 2094.01,,,,0.14,0.009709729693033964,387,325,,18.7917,1.4945,10.0,50.02,3457,4.848,True,toi,0.376775,27.885315627790856,3.2068112971959484,0.002402144196592437,0.09682209901276324,0.3955208825827774,159.80897732850966
58,K2-151 b,,,,0.13,0.00889,736,619,3.095,3.8355,1.6447948394329364,10.1,69.61,3695,4.8,True,nexsci,0.45,32.559168914015544,3.7443044251117854,0.0028099896983312532,0.11326093628459814,0.46267397565436746,116.78575276906143
