,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab
40,TOI 2095.01,,,,0.12,0.007473866873176994,457,384,,17.6633,3.05,9.0,41.92,3746,4.77,True,toi,0.46320500000000003,17.83456499039522,2.05097497389545,0.0034784678203467045,0.1402049702894925
41,TOI 2095.02,,,,0.11,0.006447453350840467,391,329,,28.1739,4.1897,9.0,41.92,3746,4.77,True,toi,0.46320500000000003,13.643275874581414,1.5689767255768627,0.0031187867024983326,0.12570747223973447
42,K2-21 b,0.0,0.001,0.019,0.14,0.011856,656,552,3.1639999999999997,9.3241,2.3040000000000003,9.4,65.0,4043,,True,exoplanets.org,0.65,13.032798306518666,1.4987718052496464,0.0018376147205180658,0.07406787430567341
43,Kepler-138 b,0.0,0.0,0.052000000000000005,0.05,0.00021,530,446,2.372,10.3126,1.92,9.5,66.99,3841,4.89,True,nexsci,0.44,59.10165159565334,6.796689933500132,0.007264835440783441,0.2928203133503683
44,Kepler-138 c,0.0,0.0,0.021,0.11,0.0062,485,408,3.128,13.7813,2.263,9.5,66.99,3841,4.89,True,nexsci,0.44,19.49936952437562,2.2424274953031964,0.0026021863597889185,0.10488510462217349
45,Kepler-138 d,0.0,0.0,0.051,0.11,0.00201,409,344,2.6310000000000002,23.0881,1.9465,9.5,66.99,3841,4.89,True,nexsci,0.44,50.712436983694666,5.831930253124885,0.006276495685883704,0.25298376659231014
46,KOI 314.01,0.0,0.0,0.017,0.13,0.010551000000000001,523,439,3.2119999999999997,13.7811,2.3188,9.5,,3846,4.738,True,exoplanets.org,0.503,15.57199936765584,1.7907799272804217,0.0021035438654121046,0.08478655557128378
47,KOI 314.02,0.0,0.0,0.013000000000000001,0.11,0.006683,440,370,3.1310000000000002,23.089000000000002,1.7012,9.5,,3846,4.738,True,exoplanets.org,0.503,12.553121771079992,1.443609003674199,0.0014524626665588993,0.058543731185413145
48,TOI 1746.01,,,,0.14,0.009709729693033964,749,630,,2.5253,0.9458,9.5,62.55,3340,4.817,True,toi,0.41046499999999997,45.545413340697365,5.237722534180197,0.00392934219784754,0.1583781522669234
49,TOI 2267.01,,,,0.11,0.006447453350840467,520,438,,3.495,0.8802,9.5,,3022,4.996,True,toi,0.242745,66.13673702847628,7.605724758274773,0.005504387451609416,0.2218627622772812
50,TOI 797.02,0.0,0.001,,0.13,0.008561782951905326,718,604,,4.1401,1.0133,9.6,56.19,3607,4.761,True,toi,0.495,27.26288283514051,3.1352315260411583,0.002324964617965603,0.09371125795077744
